idempl,CF,az_ragione_soc,data_inizio,data_fine,professione,qualifica,qualifica_codice,rl_ateco,rl_ateco_macro,rl_ateco_settore,saldo,sede_op_ateco,sede_op_comune,sede_op_indirizzo,sede_op_provincia,SLL_nome,tipo_contratto
632,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-10-01,2015-09-30,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",DOCENTE UNIVERSITARIO DI DISCIPLINE AGRARIE,2.6.1.2.2.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
408,CF_80012950301,IAL INNOVAZIONE APPRENDIMENTO LAVORO FRIULI VENEZIA GIULIA S.R.L. IMPRESA SOCIALE,2014-09-25,2015-07-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",DOCENTI DELLA FORMAZIONE E DELL'AGGIORNAMENTO PROFESSIONALE,2.6.5.3.1.0,"ALTRA ISTRUZIONE SECONDARIA DI SECONDO GRADO DI FORMAZIONE TECNICA, PROFESSIONALE E ARTISTICA",SERVIZI,ISTRUZIONE,1,85.32.09,UDINE,VIA DEL VASCELLO 1,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
408,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-05-08,2014-07-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",DOCENTE UNIVERSITARIO DI DISCIPLINE AGRARIE,2.6.1.2.2.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
1972,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-07-01,2015-11-30,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE","RICERCATORI E TECNICI LAUREATI NELLE SCIENZE AGRARIE, ZOOTECNICHE E DELLA PRODUZIONE ANIMALE",2.6.2.2.2.0,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA SONDRIO 2,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
1377,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-02-01,2014-07-31,PROFESSIONI TECNICHE,TECNICO DI MONITORAGGIO ACQUA,3.1.8.3.1.5,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,"VIA DEL COTONIFICIO, 108",UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
1377,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-09-01,2015-03-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ESPERTO IN GESTIONE AMBIENTALE E RECUPERO DEL TERRITORIO,2.2.2.1.2.4,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,"VIA DEL COTONIFICIO, 108",UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
2310,CF_07616540964,RUSSULA ITALIA SRL,2014-01-07,2015-03-13,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",INGEGNERE MECCANICO,2.2.1.1.1.1,"COMMERCIO ALL'INGROSSO DI ALTRE MACCHINE ED ATTREZZATURE PER L'INDUSTRIA, IL COMMERCIO E LA NAVIGAZIONE NCA",SERVIZI,COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,1,46.69.99,UDINE,VIALE DEL LEDRA 108,UDINE,UDINE,APPRENDISTATO PROFESSIONALIZZANTE O CONTRATTO DI MESTIERE
2310,CF_07616540964,RUSSULA ITALIA SRL,2014-01-07,2015-03-13,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",INGEGNERE MECCANICO,2.2.1.1.1.1,"COMMERCIO ALL'INGROSSO DI ALTRE MACCHINE ED ATTREZZATURE PER L'INDUSTRIA, IL COMMERCIO E LA NAVIGAZIONE NCA",SERVIZI,COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVEICOLI E MOTOCICLI,1,46.69.99,UDINE,VIALE DEL LEDRA 108,UDINE,UDINE,APPRENDISTATO PROFESSIONALIZZANTE O CONTRATTO DI MESTIERE
973,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-03-01,2015-02-28,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ASSEGNISTA DI RICERCA NELLE SCIENZE DELLA TERRA,2.6.2.1.4.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,"VIA DEL COTONIFICIO, 108",UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
2691,CF_02767550300,STUDIO ASSOCIATO INGEGNERI COSSUTTI MAURIZIO E GANZ ALESSANDRO,2014-11-05,2015-05-20,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",INGEGNERI NAVALI,2.2.1.1.2.0,ATTIVITÀ DEGLI STUDI DI INGEGNERIA,SERVIZI,"ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE",1,71.12.10,UDINE,VIA SALUZZO 2/4,UDINE,UDINE,TIROCINIO
1796,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-03-01,2015-02-28,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ASSEGNISTA DI RICERCA NELLE SCIENZE AGRARIE E DELLA PRODUZIONE ANIMALE,2.6.2.2.2.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
1725,CF_01025490309,M.P.A. SRL,2014-10-20,2014-11-10,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",INGEGNERI MECCANICI,2.2.1.1.1.0,-,"NAN","NAN",1,78.20.00,UDINE,"VIALE UNGHERIA, 58",UDINE,UDINE,LAVORO A TEMPO DETERMINATO
1976,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-05-12,2014-07-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",DOCENTI UNIVERSITARI IN SCIENZE INGEGNERISTICHE INDUSTRIALI E DELL’INFORMAZIONE,2.6.1.3.2.0,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
1976,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-05-12,2014-07-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",DOCENTI UNIVERSITARI IN SCIENZE INGEGNERISTICHE INDUSTRIALI E DELL’INFORMAZIONE,2.6.1.3.2.0,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
1976,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-07-01,2015-12-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ASSEGNISTA DI RICERCA NELLE SCIENZE INGEGNERISTICHE CIVILI,2.6.2.3.1.2,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
1976,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-07-01,2015-12-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ASSEGNISTA DI RICERCA NELLE SCIENZE INGEGNERISTICHE CIVILI,2.6.2.3.1.2,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
1744,CF_02788830301,ENGINEERING CENTER ITALY,2014-09-10,NA,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",WEB DESIGNER,2.1.1.4.3.4,ALTRE ATTIVITÀ DEI SERVIZI CONNESSI ALLE TECNOLOGIE DELL'INFORMATICA NCA,SERVIZI,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,1,62.09.09,UDINE,VIALE TRICESIMO 184,UDINE,UDINE,LAVORO A TEMPO INDETERMINATO
1744,CF_02788830301,ENGINEERING CENTER ITALY,2014-09-10,NA,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",WEB DESIGNER,2.1.1.4.3.4,ALTRE ATTIVITÀ DEI SERVIZI CONNESSI ALLE TECNOLOGIE DELL'INFORMATICA NCA,SERVIZI,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,1,62.09.09,UDINE,VIALE TRICESIMO 184,UDINE,UDINE,LAVORO A TEMPO INDETERMINATO
1744,CF_01207700327,USBT SRL,2014-02-03,2014-09-09,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ANALISTA PROGRAMMATORE,2.1.1.4.1.3,ALTRE ATTIVITÀ DEI SERVIZI CONNESSI ALLE TECNOLOGIE DELL'INFORMATICA NCA,SERVIZI,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,1,62.09.09,UDINE,VIALE TRICESIMO 184,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
1744,CF_01207700327,USBT SRL,2014-02-03,2014-09-09,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ANALISTA PROGRAMMATORE,2.1.1.4.1.3,ALTRE ATTIVITÀ DEI SERVIZI CONNESSI ALLE TECNOLOGIE DELL'INFORMATICA NCA,SERVIZI,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,1,62.09.09,UDINE,VIALE TRICESIMO 184,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
608,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-10-01,2015-09-30,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",DOCENTI UNIVERSITARI IN SCIENZE MEDICHE,2.6.1.2.3.0,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIALE UNGHERIA 20,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
886,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-02-24,2014-06-13,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",DOCENTE UNIVERSITARIO DI ARCHITETTURA,2.6.1.3.1.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
817,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-10-01,2015-09-30,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",DOCENTI UNIVERSITARI IN SCIENZE MEDICHE,2.6.1.2.3.0,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA COLUGNA 44,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
158,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-02-24,2014-06-13,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",DOCENTI UNIVERSITARI IN SCIENZE INGEGNERISTICHE INDUSTRIALI E DELL’INFORMAZIONE,2.6.1.3.2.0,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
925,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-05-08,2014-07-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",DOCENTE UNIVERSITARIO DI DISCIPLINE AGRARIE,2.6.1.2.2.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
925,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-05-08,2014-07-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",DOCENTE UNIVERSITARIO DI DISCIPLINE AGRARIE,2.6.1.2.2.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
925,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-05-08,2014-07-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",DOCENTE UNIVERSITARIO DI DISCIPLINE AGRARIE,2.6.1.2.2.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
925,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-05-08,2014-07-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",DOCENTE UNIVERSITARIO IN SCIENZE CHIMICHE,2.6.1.1.3.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
925,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-05-08,2014-07-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",DOCENTE UNIVERSITARIO IN SCIENZE CHIMICHE,2.6.1.1.3.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
925,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-05-08,2014-07-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",DOCENTE UNIVERSITARIO IN SCIENZE CHIMICHE,2.6.1.1.3.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
1858,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-08-01,2015-07-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ASSEGNISTA DI RICERCA NELLE SCIENZE DELL'INFORMAZIONE,2.6.2.1.1.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
1240,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-02-01,2015-01-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ASSEGNISTA DI RICERCA NELLE SCIENZE BIOLOGICHE,2.6.2.2.1.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,PIAZZALE KOLBE 4,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
3265,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-06-01,2014-09-30,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ASSEGNISTA DI RICERCA NELLE SCIENZE DELL'INFORMAZIONE,2.6.2.1.1.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
3265,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-10-01,2015-09-30,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ASSEGNISTA DI RICERCA NELLE SCIENZE DELL'INFORMAZIONE,2.6.2.1.1.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
3686,CF_02788830301,ENGINEERING CENTER ITALY,2014-09-10,2017-12-29,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",SVILUPPATORE SOFTWARE,2.1.1.4.1.17,PRODUZIONE DI SOFTWARE NON CONNESSO ALL'EDIZIONE,SERVIZI,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,1,62.09.09,UDINE,VIALE TRICESIMO 184,UDINE,UDINE,LAVORO A TEMPO INDETERMINATO
3660,CF_02788830301,ENGINEERING CENTER ITALY,2014-09-10,2017-12-29,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ANALISTI E PROGETTISTI DI APPLICAZIONI WEB,2.1.1.4.3.0,PRODUZIONE DI SOFTWARE NON CONNESSO ALL'EDIZIONE,SERVIZI,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,1,62.09.09,UDINE,VIALE TRICESIMO 184,UDINE,UDINE,LAVORO A TEMPO INDETERMINATO
1639,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-05-08,2014-07-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",DOCENTE UNIVERSITARIO IN SCIENZE CHIMICHE,2.6.1.1.3.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
3132,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-12-01,2015-01-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",INGEGNERI ELETTRONICI,2.2.1.4.1.0,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
3132,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-12-01,2015-01-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",INGEGNERI ELETTRONICI,2.2.1.4.1.0,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
1146,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-09-29,2015-01-23,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",DOCENTE UNIVERSITARIO DI DISCIPLINE AGRARIE,2.6.1.2.2.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA DELLE SCIENZE 206,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
3220,CF_01847860309,SOLARI DI UDINE SPA,2014-09-08,2015-09-07,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI SOFTWARE,2.1.1.4.1.11,FABBRICAZIONE DI ALTRI APPARECCHI ELETTRICI ED ELETTRONICI PER TELECOMUNICAZIONI,INDUSTRIA,ATTIVITÀ MANIFATTURIERE,1,26.30.29,UDINE,VIA GINO PIERI 29,UDINE,UDINE,LAVORO A TEMPO DETERMINATO
3220,CF_01847860309,SOLARI DI UDINE SPA,2014-09-08,2015-09-07,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI SOFTWARE,2.1.1.4.1.11,FABBRICAZIONE DI ALTRI APPARECCHI ELETTRICI ED ELETTRONICI PER TELECOMUNICAZIONI,INDUSTRIA,ATTIVITÀ MANIFATTURIERE,1,26.30.29,UDINE,VIA GINO PIERI 29,UDINE,UDINE,LAVORO A TEMPO DETERMINATO
3593,CF_02525300303,E - LASER SRL,2014-02-24,2014-12-10,PROFESSIONI TECNICHE,TECNICO CARTOGRAFICO,3.1.3.7.3.4,ALTRE ELABORAZIONI ELETTRONICHE DI DATI,SERVIZI,SERVIZI DI INFORMAZIONE E COMUNICAZIONE,1,71.12.40,UDINE,VIA LINUSSIO 51,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
2025,CF_02044670301,KEMIRA ITALY SPA,2014-02-06,2014-02-12,PROFESSIONI ESECUTIVE NEL LAVORO D'UFFICIO,SEGRETARIO DI AZIENDA,4.1.1.1.0.12,-,"NAN","NAN",1,93.05.0,UDINE,"VIA PIAVE, 21",UDINE,UDINE,LAVORO A TEMPO DETERMINATO
2025,CF_02044670301,KEMIRA ITALY SPA,2014-06-09,2014-10-10,PROFESSIONI ESECUTIVE NEL LAVORO D'UFFICIO,SEGRETARIO DI AZIENDA,4.1.1.1.0.12,-,"NAN","NAN",1,93.05.0,UDINE,"VIA PIAVE, 21",UDINE,UDINE,LAVORO A TEMPO DETERMINATO
2345,CF_80010630301,I.T.C. 'C. DEGANUTTI',2014-11-06,2014-12-23,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROFESSORE DI SCIENZE,2.6.3.2.2.5,"ALTRA ISTRUZIONE SECONDARIA DI SECONDO GRADO DI FORMAZIONE TECNICA, PROFESSIONALE E ARTISTICA",SERVIZI,ISTRUZIONE,1,85.32.09,UDINE,VIA DIAZ 60/A,UDINE,UDINE,LAVORO A TEMPO DETERMINATO  PER SOSTITUZIONE
2710,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-01-16,2014-07-15,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",RICERCATORE UNIVERSITARIO NELLE SCIENZE DELLA TERRA,2.6.2.1.4.2,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,VIA PETRACCO 8,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
622,CF_80014550307,UNIVERSITA' DEGLI STUDI DI UDINE,2014-12-01,2015-11-30,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ASSEGNISTA DI RICERCA NELLE SCIENZE BIOLOGICHE,2.6.2.2.1.1,ISTRUZIONE UNIVERSITARIA E POST-UNIVERSITARIA; ACCADEMIE E CONSERVATORI,SERVIZI,ISTRUZIONE,1,85.42.00,UDINE,PIAZZALE KOLBE 4,UDINE,UDINE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
